Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
80,5923834,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.675238368,1974611.333,3419384.982,5922977,148,5923834,2961917.0,4187571.211,5922977,857,0,0.0,0.0,0,0,0,0,0,0,104,40,0.506428776,0.168809592,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
53,31679,2,2,76,172,38,38,38.0,0.0,86,86,86.0,0.0,7828.529941,126.266612,10559.66667,18285.54911,31674,1,4,4.0,0.0,4,4,1,1.0,0.0,1,1,0,0,0,0,64,64,63.13330598,63.13330598,38,86,57.2,26.29068276,691.2,0,0,0,0,0,0,0,0,1,71.5,38.0,86.0,64,0,0,0,0,0,0,2,76,2,172,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,5414632,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.738739032,1804877.333,3125418.724,5413800,115,5414632,2707316.0,3827546.379,5413800,832,0,0.0,0.0,0,0,0,0,0,0,104,40,0.554054274,0.184684758,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,5096824,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.784802457,1698941.333,2941914.87,5095972,124,5096824,2548412.0,3602793.903,5095972,852,0,0.0,0.0,0,0,0,0,0,0,104,40,0.588601843,0.196200614,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
443,1993846,9,11,703,3950,267,0,78.11111111,103.3022803,1448,0,359.0909091,569.9183195,2333.680736,10.03086497,104939.2632,175226.8507,604878,3,1398772,174846.5,248034.88,699869,193,1898677,189867.7,214421.8624,604878,3,0,0,0,0,296,360,4.513889237,5.516975734,0,1448,221.5714286,434.4990876,188789.4571,0,0,0,1,0,0,0,0,1,232.65,78.11111111,359.0909091,296,0,0,0,0,0,0,9,703,11,3950,29200,254,4,32,0.0,0.0,0,0,0.0,0.0,0,0,0
80,5446992,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.734350262,1815664.0,3144233.408,5446312,123,5446992,2723496.0,3850643.315,5446312,680,0,0.0,0.0,0,0,0,0,0,0,104,40,0.550762696,0.183587565,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,104,0,0,0,0,0,0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,1
80,23172,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,86.31106508,23172.0,0.0,23172,23172,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,32,32,43.15553254,43.15553254,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,0,1,0.0,0.0,0.0,32,0,0,0,0,0,0,1,0,1,0,259,939,0,32,0.0,0.0,0,0,0.0,0.0,0,0,0
53,30838,1,1,42,104,42,42,42.0,0.0,104,104,104.0,0.0,4734.418574,64.85504897,30838.0,0.0,30838,30838,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,20,20,32.42752448,32.42752448,42,104,62.66666667,35.79571669,1281.333333,0,0,0,0,0,0,0,0,1,94.0,42.0,104.0,20,0,0,0,0,0,0,1,42,1,104,-1,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,0
53,32073,2,2,68,250,34,34,34.0,0.0,125,125,125.0,0.0,9914.881676,124.7154928,10691.0,18472.33618,32021,3,49,49.0,0.0,49,49,3,3.0,0.0,3,3,0,0,0,0,40,40,62.35774639,62.35774639,34,125,70.4,49.84275273,2484.3,0,0,0,0,0,0,0,0,1,88.0,34.0,125.0,40,0,0,0,0,0,0,2,68,2,250,-1,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,0
443,1513417,4,6,574,186,517,0,143.5,250.0379971,137,0,31.0,53.05091894,502.1748798,6.607564207,168157.4444,216348.8318,635307,1,575608,191869.3333,120739.7657,266973,52594,1257522,251504.4,264893.4756,635307,1,0,0,0,0,92,132,2.643025683,3.964538524,0,517,69.09090909,154.0308116,23725.49091,0,0,0,1,0,0,0,0,1,76.0,143.5,31.0,92,0,0,0,0,0,0,4,574,6,186,8192,60,3,20,0.0,0.0,0,0,0.0,0.0,0,0,0
